tema,clasificacion,ponderacion,sumatoria_ponderaciones,contador,grado_de_conocimiento,matriz_ponderacion,matriz_inferencia,matriz_inferencia_final,dificultad,discriminacion,adivinacion,asintota,orden_evaluacion
98,1,0,0,1,-1,"[0, 0, 0]","[26.361487606757255, 37.790567829213515, 35.84794456402922]","[0, 0, 0]",-1.97142857,1.0,0.26361487606757256,1,-1
178,1,0,0,1,-1,"[0, 0, 0]","[18.77084719799114, 38.744111626660626, 42.485041175348236]","[0, 0, 0]",-0.25714286,1.0,0.18770847197991142,1,-1
179,1,0,0,1,-1,"[0, 0, 0]","[23.233243422269283, 31.848107114925966, 44.91864946280476]","[0, 0, 0]",-0.25714286,1.0,0.2323324342226928,1,-1
180,1,0,0,1,-1,"[0, 0, 0]","[32.89474260554943, 32.18680511141987, 34.918452283030696]","[0, 0, 0]",-0.25714286,1.0,0.3289474260554943,1,-1
32,4,0.0,0.0,2,0,"[100, 0, 0]","[31.06616129658839, 28.219653028329688, 40.71418567508192]","[65.5330806482942, 14.109826514164844, 20.35709283754096]",-2.05714286,1.0,0.3106616129658839,1,-1
96,4,0.0,0.0,2,0,"[100, 0, 0]","[38.12886091704845, 33.94414395021752, 27.92699513273402]","[69.06443045852423, 16.97207197510876, 13.96349756636701]",-2.14285714,1.0,0.3812886091704845,1,-1
97,4,0.0,0.0,2,0,"[100, 0, 0]","[12.037786073234525, 19.201323452153687, 68.76089047461178]","[56.018893036617264, 9.600661726076844, 34.38044523730589]",-2.05714286,1.0,0.12037786073234524,1,-1
169,1,0,0,1,-1,"[0, 0, 0]","[41.93463948703337, 30.334125970967435, 27.7312345419992]","[0, 0, 0]",-1.11428571,1.0,0.4193463948703337,1,-1
177,1,0,0,1,-1,"[0, 0, 0]","[25.16208905054923, 33.81259941196631, 41.02531153748447]","[0, 0, 0]",-0.34285714,1.0,0.2516208905054923,1,-1
31,4,0.0,0.0,4,0,"[100, 0, 0]","[39.93322489382843, 28.029546684878436, 32.03722842129312]","[69.96661244691421, 14.014773342439218, 16.01861421064656]",-2.14285714,1.0,0.3993322489382843,1,-1
95,4,0.0,0.0,4,0,"[100, 0, 0]","[22.668313932770786, 27.6767572409354, 49.65492882629382]","[61.33415696638539, 13.8383786204677, 24.82746441314691]",-2.22857143,1.0,0.22668313932770787,1,-1
101,4,0.0,0.0,3,0,"[100, 0, 0]","[25.277469650407202, 35.44638489369332, 39.276145455899474]","[62.6387348252036, 17.72319244684666, 19.638072727949737]",-2.31428571,1.0,0.252774696504072,1,-1
168,1,0,0,1,-1,"[0, 0, 0]","[32.310449216203786, 30.03774996634328, 37.65180081745294]","[0, 0, 0]",-1.2,1.0,0.32310449216203785,1,-1
175,1,0,0,1,-1,"[0, 0, 0]","[27.130012831130575, 30.740586322255197, 42.12940084661422]","[0, 0, 0]",-0.42857143,1.0,0.27130012831130573,1,-1
176,1,0,0,1,-1,"[0, 0, 0]","[26.89462117622986, 28.03773115133481, 45.06764767243533]","[0, 0, 0]",-0.42857143,1.0,0.2689462117622986,1,-1
187,1,0,0,1,-1,"[0, 0, 0]","[49.77561227021548, 24.994539128848086, 25.229848600936442]","[0, 0, 0]",0.42857143,1.0,0.4977561227021548,1,-1
190,1,0,0,1,-1,"[0, 0, 0]","[31.028480654109615, 33.94130138376596, 35.030217962124425]","[0, 0, 0]",1.2,1.0,0.31028480654109614,1,-1
195,4,0.0,0.0,2,0,"[100, 0, 0]","[39.66258294075975, 30.34440333401992, 29.99301372522033]","[69.7763923508927, 15.405699861233007, 14.817907787874299]",1.8,1.0,0.3966258294075975,1,-1
209,1,0,0,1,-1,"[0, 0, 0]","[35.35539693093704, 39.98033834420076, 24.66426472486221]","[0, 0, 0]",3.0,1.0,0.3535539693093704,1,-1
30,4,0.0,0.0,13,0,"[100, 0, 0]","[36.52302274529502, 31.367127306032383, 32.109849948672604]","[68.2615113726475, 15.683563653016192, 16.054924974336302]",-2.4,1.0,0.36523022745295025,1,-1
44,1,0,0,1,-1,"[0, 0, 0]","[18.77650215709849, 31.044510817849464, 50.17898702505204]","[0, 0, 0]",1.71428571,1.0,0.1877650215709849,1,-1
46,1,0,0,1,-1,"[0, 0, 0]","[18.65314632241283, 34.58994584546891, 46.75690783211825]","[0, 0, 0]",1.71428571,1.0,0.1865314632241283,1,-1
47,1,0,0,1,-1,"[0, 0, 0]","[19.73397687731761, 39.335082108257126, 40.930941014425265]","[0, 0, 0]",1.71428571,1.0,0.19733976877317608,1,-1
48,3,0,0,1,0,"[100, 0, 0]","[20.907462179179568, 44.07684017141802, 35.01569764940242]","[100.0, 0.0, 0.0]",1.71428571,1.0,0.20907462179179567,1,0
49,1,0,0,1,-1,"[0, 0, 0]","[29.810196667616413, 39.37650510644099, 30.813298225942603]","[0, 0, 0]",1.71428571,1.0,0.2981019666761641,1,-1
50,1,0,0,1,-1,"[0, 0, 0]","[24.069094791975708, 25.88066579016234, 50.05023941786195]","[0, 0, 0]",1.71428571,1.0,0.2406909479197571,1,-1
77,1,0,0,1,-1,"[0, 0, 0]","[36.238375184274965, 28.881811896689662, 34.87981291903537]","[0, 0, 0]",0.34285714,1.0,0.3623837518427496,1,-1
164,1,0,0,1,-1,"[0, 0, 0]","[15.094244101004472, 30.083500651165757, 54.822255247829766]","[0, 0, 0]",-1.37142857,1.0,0.15094244101004473,1,-1
165,1,0,0,1,-1,"[0, 0, 0]","[35.335167889884175, 30.82320158139708, 33.841630528718724]","[0, 0, 0]",-1.28571429,1.0,0.3533516788988418,1,-1
166,1,0,0,1,-1,"[0, 0, 0]","[42.23885268446085, 19.927711956571287, 37.83343535896786]","[0, 0, 0]",-1.37142857,1.0,0.42238852684460854,1,-1
167,1,0,0,1,-1,"[0, 0, 0]","[39.88730857369634, 25.30777765753653, 34.804913768767136]","[0, 0, 0]",-1.28571429,1.0,0.3988730857369634,1,-1
174,1,0,0,1,-1,"[0, 0, 0]","[17.939356905854563, 30.845580825002195, 51.21506226914324]","[0, 0, 0]",-0.51428571,1.0,0.17939356905854564,1,-1
188,1,0,0,1,-1,"[0, 0, 0]","[31.69232110653532, 34.1208249476949, 34.186853945769776]","[0, 0, 0]",1.02857143,1.0,0.3169232110653532,1,-1
189,1,0,0,1,-1,"[0, 0, 0]","[23.40175492362878, 31.637704493918488, 44.96054058245273]","[0, 0, 0]",1.11428571,1.0,0.2340175492362878,1,-1
194,1,0,0,1,-1,"[0, 0, 0]","[28.93411833961214, 39.31881333307614, 31.747068327311716]","[0, 0, 0]",1.71428571,1.0,0.2893411833961214,1,-1
208,1,0,0,1,-1,"[0, 0, 0]","[31.052173889169985, 44.22597959171887, 24.721846519111146]","[0, 0, 0]",2.91428571,1.0,0.31052173889169987,1,-1
28,1,0,0,1,-1,"[0, 0, 0]","[29.01982572614991, 20.904630811679905, 50.07554346217018]","[0, 0, 0]",-2.48571429,1.0,0.2901982572614991,1,-1
29,1,0,0,1,-1,"[0, 0, 0]","[31.048175943171174, 20.830886736007102, 48.12093732082172]","[0, 0, 0]",-2.48571429,1.0,0.31048175943171175,1,-1
59,1,0,0,1,-1,"[0, 0, 0]","[38.79657266025908, 42.04813614070056, 19.15529119904036]","[0, 0, 0]",0.94285714,1.0,0.3879657266025908,1,-1
