tema,clasificacion,ponderacion,sumatoria_ponderaciones,contador,grado_de_conocimiento,matriz_ponderacion,matriz_inferencia,matriz_inferencia_final,dificultad,discriminacion,adivinacion,asintota,orden_evaluacion
98,1,0,0,1,-1,"[0, 0, 0]","[26.3613112725287, 37.79061846680707, 35.84807026066422]","[0, 0, 0]",-1.97142857,1.0,0.263613112725287,1,-1
178,1,0,0,1,-1,"[0, 0, 0]","[18.770847197991138, 38.744111626660626, 42.48504117534823]","[0, 0, 0]",-0.25714286,1.0,0.1877084719799114,1,-1
179,3,90,0,1,2,"[0, 0, 100]","[23.233243422269283, 31.848107114925973, 44.91864946280476]","[0.0, 0.0, 100.0]",-0.25714286,1.0,0.2323324342226928,1,0
180,1,0,0,1,-1,"[0, 0, 0]","[32.894742605549425, 32.186805111419865, 34.9184522830307]","[0, 0, 0]",-0.25714286,1.0,0.32894742605549426,1,-1
32,1,0,0,1,-1,"[0, 0, 0]","[31.066726282988206, 28.2195651672749, 40.71370854973688]","[0, 0, 0]",-2.05714286,1.0,0.31066726282988205,1,-1
96,1,0,0,1,-1,"[0, 0, 0]","[38.11907719851731, 33.943721452203754, 27.937201349278922]","[0, 0, 0]",-2.14285714,1.0,0.3811907719851731,1,-1
97,1,0,0,1,-1,"[0, 0, 0]","[12.050168189274235, 19.161888416778883, 68.78794339394688]","[0, 0, 0]",-2.05714286,1.0,0.12050168189274235,1,-1
169,1,0,0,1,-1,"[0, 0, 0]","[41.93463948703209, 30.334125970966813, 27.731234542001086]","[0, 0, 0]",-1.11428571,1.0,0.41934639487032094,1,-1
177,4,100.0,100,2,2,"[0, 0, 100]","[25.162089050549223, 33.81259941196632, 41.025311537484455]","[12.701663324995502, 16.96576545644004, 70.33257121856445]",-0.34285714,1.0,0.25162089050549225,1,-1
31,1,0,0,1,-1,"[0, 0, 0]","[39.965760325044705, 27.997084540577376, 32.037155134377905]","[0, 0, 0]",-2.14285714,1.0,0.3996576032504471,1,-1
95,1,0,0,1,-1,"[0, 0, 0]","[24.28032887841661, 28.36021148013327, 47.359459641450115]","[0, 0, 0]",-2.22857143,1.0,0.24280328878416613,1,-1
101,1,0,0,1,-1,"[0, 0, 0]","[26.176649735718012, 35.20556533483947, 38.617784929442536]","[0, 0, 0]",-2.31428571,1.0,0.2617664973571801,1,-1
168,1,0,0,1,-1,"[0, 0, 0]","[32.31044921656952, 30.03774996608508, 37.651800817345396]","[0, 0, 0]",-1.2,1.0,0.32310449216569526,1,-1
175,4,100.0,100,2,2,"[0, 0, 100]","[27.130012831130575, 30.740586322255197, 42.129400846614224]","[13.565178320380275, 15.370650599413406, 71.06417108020632]",-0.42857143,1.0,0.27130012831130573,1,-1
176,1,0,0,1,-1,"[0, 0, 0]","[26.89462117622986, 28.03773115133481, 45.06764767243533]","[0, 0, 0]",-0.42857143,1.0,0.2689462117622986,1,-1
187,1,0,0,1,-1,"[0, 0, 0]","[49.775612270215476, 24.994539128848075, 25.229848600936442]","[0, 0, 0]",0.42857143,1.0,0.49775612270215475,1,-1
190,1,0,0,1,-1,"[0, 0, 0]","[31.028480654109615, 33.94130138376597, 35.03021796212443]","[0, 0, 0]",1.2,1.0,0.31028480654109614,1,-1
195,4,36.0,180.0,6,0,"[100, 0, 0]","[39.66258294075974, 30.34440333401992, 29.993013725220326]","[69.83129147037987, 15.17220166700996, 14.996506862610163]",1.8,1.0,0.3966258294075974,1,-1
209,1,0,0,1,-1,"[0, 0, 0]","[35.35539693093704, 39.98033834420075, 24.66426472486221]","[0, 0, 0]",3.0,1.0,0.3535539693093704,1,-1
30,1,0,0,1,-1,"[0, 0, 0]","[36.415101925175975, 31.49927090571738, 32.08562716910664]","[0, 0, 0]",-2.4,1.0,0.36415101925175974,1,-1
44,3,80,0,1,1,"[0, 100, 0]","[18.776502157098488, 31.044510817849456, 50.17898702505204]","[9.388251078549246, 65.52225540892474, 25.089493512526023]",1.71428571,1.0,0.18776502157098487,1,5
46,3,80,0,1,1,"[0, 100, 0]","[18.65314632241283, 34.58994584546892, 46.75690783211825]","[9.326573161206417, 67.29497292273446, 23.378453916059126]",1.71428571,1.0,0.1865314632241283,1,2
47,3,30,0,1,0,"[100, 0, 0]","[19.733976877317613, 39.33508210825713, 40.93094101442525]","[59.86698843865881, 19.667541054128563, 20.465470507212633]",1.71428571,1.0,0.19733976877317613,1,6
48,3,80,0,1,1,"[0, 100, 0]","[20.907462179179564, 44.07684017141801, 35.01569764940242]","[10.453731089589784, 72.038420085709, 17.507848824701213]",1.71428571,1.0,0.20907462179179565,1,7
49,1,0,0,1,-1,"[0, 0, 0]","[29.810196667616403, 39.37650510644099, 30.8132982259426]","[0, 0, 0]",1.71428571,1.0,0.298101966676164,1,-1
50,3,90,0,1,2,"[0, 0, 100]","[24.069094791975708, 25.88066579016234, 50.05023941786195]","[12.034547395987856, 12.940332895081172, 75.02511970893097]",1.71428571,1.0,0.2406909479197571,1,8
77,1,0,0,1,-1,"[0, 0, 0]","[36.238375184274965, 28.881811896689662, 34.87981291903537]","[0, 0, 0]",0.34285714,1.0,0.3623837518427496,1,-1
164,1,0,0,1,-1,"[0, 0, 0]","[15.094244101004485, 30.08350065116579, 54.82225524782973]","[0, 0, 0]",-1.37142857,1.0,0.15094244101004484,1,-1
165,1,0,0,1,-1,"[0, 0, 0]","[35.335167889884175, 30.82320158139708, 33.84163052871873]","[0, 0, 0]",-1.28571429,1.0,0.3533516788988418,1,-1
166,1,0,0,1,-1,"[0, 0, 0]","[42.23885280499148, 19.927711983031934, 37.83343521197659]","[0, 0, 0]",-1.37142857,1.0,0.42238852804991484,1,-1
167,1,0,0,1,-1,"[0, 0, 0]","[39.88730857492476, 25.30777765799926, 34.80491376707597]","[0, 0, 0]",-1.28571429,1.0,0.39887308574924757,1,-1
174,4,100.0,100,2,2,"[0, 0, 100]","[17.939356905854563, 30.8455808250022, 51.21506226914324]","[8.969679173276354, 15.42279029548527, 75.60753053123837]",-0.51428571,1.0,0.17939356905854564,1,-1
188,1,0,0,1,-1,"[0, 0, 0]","[31.692321106535363, 34.12082494769491, 34.18685394576972]","[0, 0, 0]",1.02857143,1.0,0.31692321106535365,1,-1
189,1,0,0,1,-1,"[0, 0, 0]","[23.40175492362878, 31.637704493918484, 44.96054058245273]","[0, 0, 0]",1.11428571,1.0,0.2340175492362878,1,-1
194,1,0,0,1,-1,"[0, 0, 0]","[28.934118339612137, 39.31881333307614, 31.747068327311712]","[0, 0, 0]",1.71428571,1.0,0.28934118339612136,1,-1
208,1,0,0,1,-1,"[0, 0, 0]","[31.05217388917006, 44.225979591718506, 24.721846519111438]","[0, 0, 0]",2.91428571,1.0,0.3105217388917006,1,-1
28,1,0,0,1,-1,"[0, 0, 0]","[29.018574655902725, 20.896790410403636, 50.08463493369363]","[0, 0, 0]",-2.48571429,1.0,0.29018574655902724,1,-1
29,1,0,0,1,-1,"[0, 0, 0]","[31.04653300382348, 20.831474593663444, 48.12199240251307]","[0, 0, 0]",-2.48571429,1.0,0.3104653300382348,1,-1
59,1,0,0,1,-1,"[0, 0, 0]","[38.796572660259095, 42.04813614070056, 19.155291199040363]","[0, 0, 0]",0.94285714,1.0,0.38796572660259093,1,-1
60,1,0,0,1,-1,"[0, 0, 0]","[31.20202009986957, 33.885011566994514, 34.91296833313592]","[0, 0, 0]",0.94285714,1.0,0.3120202009986957,1,-1
74,1,0,0,1,-1,"[0, 0, 0]","[36.42231248554949, 31.55683779244039, 32.02084972201013]","[0, 0, 0]",0.25714286,1.0,0.3642231248554949,1,-1
